年度,年齢,チーム,防御率,勝利,敗戦,セーブ,試合,完投,完封,ホールド,勝率,投球回,被安打,被本塁打,与四球,与死球,奪三振,暴投,ボーク,失点,自責点,その他,年俸
2007,19.0,楽天(4),3.82,11.0,7.0,0.0,28.0,4.0,1.0,0,0.611,186 1/3,183.0,17.0,68.0,7.0,196.0,10.0,1.0,83.0,79.0,新人王,1500万円
2008,20.0,楽天(5),3.49,9.0,7.0,1.0,25.0,5.0,2.0,0,0.563,172 2/3,171.0,9.0,54.0,2.0,159.0,6.0,0.0,71.0,67.0,,6000万円
2009,21.0,楽天(2),2.33,15.0,6.0,1.0,25.0,6.0,3.0,0,0.7140000000000001,189 2/3,170.0,13.0,43.0,7.0,171.0,3.0,0.0,51.0,49.0,,9500万円
2010,22.0,楽天(6),2.5,11.0,6.0,0.0,20.0,8.0,1.0,0,0.647,155,159.0,9.0,32.0,5.0,119.0,1.0,0.0,47.0,43.0,,1億8000万円
2011,23.0,楽天(5),1.27,19.0,5.0,0.0,27.0,14.0,6.0,0,0.792,226 1/3,171.0,8.0,27.0,5.0,241.0,7.0,0.0,35.0,32.0,沢村賞,2億円
2012,24.0,楽天(4),1.87,10.0,4.0,0.0,22.0,8.0,3.0,0,0.7140000000000001,173,160.0,4.0,19.0,2.0,169.0,4.0,0.0,45.0,36.0,,3億2000万円
2013,25.0,楽天(1),1.27,24.0,0.0,1.0,28.0,8.0,2.0,0,1.0,212,168.0,6.0,32.0,3.0,183.0,9.0,0.0,35.0,30.0,MVP沢村賞,4億円
2014,26.0,NYY,2.77,13.0,5.0,0.0,20.0,3.0,1.0,0,0.722,136 1/3,123.0,15.0,21.0,4.0,141.0,4.0,0.0,47.0,42.0,,"$22,000,000"
2015,27.0,NYY,3.51,12.0,7.0,0.0,24.0,1.0,0.0,0,0.632,154,126.0,25.0,27.0,1.0,139.0,4.0,0.0,66.0,60.0,,"$22,000,000"
2016,28.0,NYY,3.07,14.0,4.0,0.0,31.0,0.0,0.0,0,0.778,199 2/3,179.0,22.0,36.0,3.0,165.0,7.0,0.0,75.0,68.0,,"$22,000,000"
2017,29.0,NYY,4.74,13.0,12.0,0.0,30.0,1.0,1.0,0,0.52,178 1/3,180.0,35.0,41.0,7.0,194.0,7.0,0.0,100.0,94.0,,"$22,000,000"
2018,30.0,NYY,,,,,,,,,,,,,,,,,,,,,"$22,000,000"
NPB通算成績,2.3,99,35.0,3.0,175.0,53.0,18.0,0.0,0.7390000000000001,1315,1182.0,66,275.0,31.0,1238.0,40.0,1.0,367.0,336.0,,,,
MLB（メジャー）通算成績,3.56,52,28.0,0.0,105.0,5.0,2.0,0.0,0.65,668 1/3,608.0,97,125.0,15.0,639.0,22.0,0.0,288.0,264.0,,,,
日米通算成績,2.72,151,63.0,3.0,280.0,58.0,20.0,0.0,0.706,1983 1/3,1790.0,163,400.0,46.0,1877.0,62.0,1.0,655.0,600.0,,,,
